source_id,title,provider,catalog_url,tasks,annotation_types,modalities,yolo_readiness,sam3_readiness,license,commercial_use,access,estimated_size,priority,summary,risk_notes,discovery_origin,last_seen_at
huggingface:davanstrien/embellishments-sample,davanstrien/embellishments-sample,Hugging Face Hub,https://huggingface.co/datasets/davanstrien/embellishments-sample,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:DeceptionPro/EDR_Telemetry_Sample,DeceptionPro/EDR_Telemetry_Sample,Hugging Face Hub,https://huggingface.co/datasets/DeceptionPro/EDR_Telemetry_Sample,question-answering | sentence-similarity | text-classification | text-generation,unknown,image or multimodal; inspect dataset card,conversion_required,box_prompt_convertible,cc-by-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:detection-datasets/coco,detection-datasets/coco,Hugging Face Hub,https://huggingface.co/datasets/detection-datasets/coco,object-detection,unknown,image or multimodal; inspect dataset card,conversion_required,box_prompt_convertible,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:dhvazquez/mtg_synthetic_cards_semantic_segmentation,dhvazquez/mtg_synthetic_cards_semantic_segmentation,Hugging Face Hub,https://huggingface.co/datasets/dhvazquez/mtg_synthetic_cards_semantic_segmentation,image-segmentation,segmentation (directory tag),image or multimodal; inspect dataset card,review_required,mask_ready,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:Dinusharg/semantic_segmentation_footpath_grass_road_water_v1,Dinusharg/semantic_segmentation_footpath_grass_road_water_v1,Hugging Face Hub,https://huggingface.co/datasets/Dinusharg/semantic_segmentation_footpath_grass_road_water_v1,image-segmentation,segmentation (directory tag),image or multimodal; inspect dataset card,review_required,mask_ready,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:dnnslnk/Semantic_Segmentation_Screws,dnnslnk/Semantic_Segmentation_Screws,Hugging Face Hub,https://huggingface.co/datasets/dnnslnk/Semantic_Segmentation_Screws,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:dwb2023/brain-tumor-image-dataset-semantic-segmentation,dwb2023/brain-tumor-image-dataset-semantic-segmentation,Hugging Face Hub,https://huggingface.co/datasets/dwb2023/brain-tumor-image-dataset-semantic-segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:dylangirrens/semantic-segmentation-dataset,dylangirrens/semantic-segmentation-dataset,Hugging Face Hub,https://huggingface.co/datasets/dylangirrens/semantic-segmentation-dataset,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:embedding-data/coco_captions_quintets,embedding-data/coco_captions_quintets,Hugging Face Hub,https://huggingface.co/datasets/embedding-data/coco_captions_quintets,sentence-similarity,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:enterprise-explorers/coco-semantic-segmentation,enterprise-explorers/coco-semantic-segmentation,Hugging Face Hub,https://huggingface.co/datasets/enterprise-explorers/coco-semantic-segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,cc-by-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:EpicPinkPenguin/cmu_panoptic_dataset_instance_segmentation_mask,EpicPinkPenguin/cmu_panoptic_dataset_instance_segmentation_mask,Hugging Face Hub,https://huggingface.co/datasets/EpicPinkPenguin/cmu_panoptic_dataset_instance_segmentation_mask,unknown,segmentation (directory tag),image or multimodal; inspect dataset card,review_required,mask_ready,other,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:EssentialAI/eai-taxonomy-stem-w-dclm-100b-sample,EssentialAI/eai-taxonomy-stem-w-dclm-100b-sample,Hugging Face Hub,https://huggingface.co/datasets/EssentialAI/eai-taxonomy-stem-w-dclm-100b-sample,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,odc-by,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:etaylor/trichomes_moment_lens_instance_segmentation,etaylor/trichomes_moment_lens_instance_segmentation,Hugging Face Hub,https://huggingface.co/datasets/etaylor/trichomes_moment_lens_instance_segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:eto-ai/coco,eto-ai/coco,Hugging Face Hub,https://huggingface.co/datasets/eto-ai/coco,object-detection,unknown,image or multimodal; inspect dataset card,conversion_required,box_prompt_convertible,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:fcakyon/crack-instance-segmentation,fcakyon/crack-instance-segmentation,Hugging Face Hub,https://huggingface.co/datasets/fcakyon/crack-instance-segmentation,image-segmentation,segmentation (directory tag),image or multimodal; inspect dataset card,review_required,mask_ready,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:foduucom/table-detection-yolo,foduucom/table-detection-yolo,Hugging Face Hub,https://huggingface.co/datasets/foduucom/table-detection-yolo,object-detection,unknown,image or multimodal; inspect dataset card,conversion_required,box_prompt_convertible,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:FormDesignLabs/Aesthetic3D_Sample_Part1,FormDesignLabs/Aesthetic3D_Sample_Part1,Hugging Face Hub,https://huggingface.co/datasets/FormDesignLabs/Aesthetic3D_Sample_Part1,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:Growing-Moss-Data/automotive-service-intelligence-sample,Growing-Moss-Data/automotive-service-intelligence-sample,Hugging Face Hub,https://huggingface.co/datasets/Growing-Moss-Data/automotive-service-intelligence-sample,tabular-classification | tabular-regression | time-series-forecasting,unknown,image or multimodal; inspect dataset card,review_required,review_required,other,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:GWHS/sample_dataset,GWHS/sample_dataset,Hugging Face Hub,https://huggingface.co/datasets/GWHS/sample_dataset,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:gymprathap/Semantic-Segmentation-Aerial-Imagery-Dataset,gymprathap/Semantic-Segmentation-Aerial-Imagery-Dataset,Hugging Face Hub,https://huggingface.co/datasets/gymprathap/Semantic-Segmentation-Aerial-Imagery-Dataset,feature-extraction,unknown,image or multimodal; inspect dataset card,review_required,review_required,cc-by-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:h4iku/coconut_c2005,h4iku/coconut_c2005,Hugging Face Hub,https://huggingface.co/datasets/h4iku/coconut_c2005,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:h4iku/coconut_c2005_preprocessed,h4iku/coconut_c2005_preprocessed,Hugging Face Hub,https://huggingface.co/datasets/h4iku/coconut_c2005_preprocessed,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:h4iku/coconut_java2006,h4iku/coconut_java2006,Hugging Face Hub,https://huggingface.co/datasets/h4iku/coconut_java2006,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:h4iku/coconut_java2006_preprocessed,h4iku/coconut_java2006_preprocessed,Hugging Face Hub,https://huggingface.co/datasets/h4iku/coconut_java2006_preprocessed,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:h4iku/coconut_javascript2010,h4iku/coconut_javascript2010,Hugging Face Hub,https://huggingface.co/datasets/h4iku/coconut_javascript2010,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:h4iku/coconut_javascript2010_preprocessed,h4iku/coconut_javascript2010_preprocessed,Hugging Face Hub,https://huggingface.co/datasets/h4iku/coconut_javascript2010_preprocessed,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:h4iku/coconut_python2010,h4iku/coconut_python2010,Hugging Face Hub,https://huggingface.co/datasets/h4iku/coconut_python2010,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:h4iku/coconut_python2010_preprocessed,h4iku/coconut_python2010_preprocessed,Hugging Face Hub,https://huggingface.co/datasets/h4iku/coconut_python2010_preprocessed,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:hamnaanaa/Duckietown-Multiclass-Semantic-Segmentation-Dataset,hamnaanaa/Duckietown-Multiclass-Semantic-Segmentation-Dataset,Hugging Face Hub,https://huggingface.co/datasets/hamnaanaa/Duckietown-Multiclass-Semantic-Segmentation-Dataset,image-segmentation,segmentation (directory tag),image or multimodal; inspect dataset card,review_required,mask_ready,openrail,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:haqi001/VALORANT_destection_head_body_yolo,haqi001/VALORANT_destection_head_body_yolo,Hugging Face Hub,https://huggingface.co/datasets/haqi001/VALORANT_destection_head_body_yolo,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:HenryYHW/DriveDNA-Sample,HenryYHW/DriveDNA-Sample,Hugging Face Hub,https://huggingface.co/datasets/HenryYHW/DriveDNA-Sample,other | time-series-forecasting,unknown,image or multimodal; inspect dataset card,review_required,review_required,other,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:hf-internal-testing/cats_vs_dogs_sample,hf-internal-testing/cats_vs_dogs_sample,Hugging Face Hub,https://huggingface.co/datasets/hf-internal-testing/cats_vs_dogs_sample,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:hmnshudhmn24/minecraft-mobs-yolo-dataset,hmnshudhmn24/minecraft-mobs-yolo-dataset,Hugging Face Hub,https://huggingface.co/datasets/hmnshudhmn24/minecraft-mobs-yolo-dataset,object-detection,YOLO (directory tag),image or multimodal; inspect dataset card,native_yolo,box_prompt_convertible,cc-by-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:Hoi0624/yolov1_dataset,Hoi0624/yolov1_dataset,Hugging Face Hub,https://huggingface.co/datasets/Hoi0624/yolov1_dataset,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:HoioH/yolov1_dataset,HoioH/yolov1_dataset,Hugging Face Hub,https://huggingface.co/datasets/HoioH/yolov1_dataset,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:huggingartists/cocomelon,huggingartists/cocomelon,Hugging Face Hub,https://huggingface.co/datasets/huggingartists/cocomelon,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:huggingartists/john-k-samson,huggingartists/john-k-samson,Hugging Face Hub,https://huggingface.co/datasets/huggingartists/john-k-samson,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:huggingartists/sam-kim,huggingartists/sam-kim,Hugging Face Hub,https://huggingface.co/datasets/huggingartists/sam-kim,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:huggingface/semantic-segmentation-test-sample,huggingface/semantic-segmentation-test-sample,Hugging Face Hub,https://huggingface.co/datasets/huggingface/semantic-segmentation-test-sample,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:HuggingFaceM4/COCO,HuggingFaceM4/COCO,Hugging Face Hub,https://huggingface.co/datasets/HuggingFaceM4/COCO,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,cc-by-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:industoai/Egg-Instance-Segmentation,industoai/Egg-Instance-Segmentation,Hugging Face Hub,https://huggingface.co/datasets/industoai/Egg-Instance-Segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,cc-by-nc-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:introvoyz041/KG_Instance_Segmentation,introvoyz041/KG_Instance_Segmentation,Hugging Face Hub,https://huggingface.co/datasets/introvoyz041/KG_Instance_Segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
huggingface:introvoyz041/MICCAI2021_Cataract_semantic_segmentation,introvoyz041/MICCAI2021_Cataract_semantic_segmentation,Hugging Face Hub,https://huggingface.co/datasets/introvoyz041/MICCAI2021_Cataract_semantic_segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:Invicto69/Job-dataset-samples,Invicto69/Job-dataset-samples,Hugging Face Hub,https://huggingface.co/datasets/Invicto69/Job-dataset-samples,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:jacobbieker/open-crab-sample,jacobbieker/open-crab-sample,Hugging Face Hub,https://huggingface.co/datasets/jacobbieker/open-crab-sample,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:jeanpat/SmallOverlapChrom-COCO125,jeanpat/SmallOverlapChrom-COCO125,Hugging Face Hub,https://huggingface.co/datasets/jeanpat/SmallOverlapChrom-COCO125,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,cc-by-nc-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""coco"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:coco,2026-09-06T07:19:42+00:00
huggingface:Jenk9/exo2exo-selected-EgoExo4D-pair-same-random,Jenk9/exo2exo-selected-EgoExo4D-pair-same-random,Hugging Face Hub,https://huggingface.co/datasets/Jenk9/exo2exo-selected-EgoExo4D-pair-same-random,image-segmentation,segmentation (directory tag),image or multimodal; inspect dataset card,review_required,mask_ready,cc-by-nc-4.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:jrahn/yolochess_deepblue,jrahn/yolochess_deepblue,Hugging Face Hub,https://huggingface.co/datasets/jrahn/yolochess_deepblue,reinforcement-learning | text-classification,unknown,image or multimodal; inspect dataset card,review_required,review_required,gpl-3.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:jrahn/yolochess_lichess-elite_2209,jrahn/yolochess_lichess-elite_2209,Hugging Face Hub,https://huggingface.co/datasets/jrahn/yolochess_lichess-elite_2209,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:jrahn/yolochess_lichess-elite_2210,jrahn/yolochess_lichess-elite_2210,Hugging Face Hub,https://huggingface.co/datasets/jrahn/yolochess_lichess-elite_2210,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:jrahn/yolochess_lichess-elite_2211,jrahn/yolochess_lichess-elite_2211,Hugging Face Hub,https://huggingface.co/datasets/jrahn/yolochess_lichess-elite_2211,reinforcement-learning | text-classification,unknown,image or multimodal; inspect dataset card,review_required,review_required,cc,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:karansapra/semantic-segmentation,karansapra/semantic-segmentation,Hugging Face Hub,https://huggingface.co/datasets/karansapra/semantic-segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,bsd-3-clause,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:kasurashan/RGBD-Instance-Segmentation,kasurashan/RGBD-Instance-Segmentation,Hugging Face Hub,https://huggingface.co/datasets/kasurashan/RGBD-Instance-Segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
